,NN,NN.1,NN.2,UU,UU.1,UU.2,pval.UU,padj.UU
SPU_011726,4.94482052955908,5.2041476631304,4.96805425452595,5.11145272356467,4.80770805229215,4.85241850428315,0.341506360450101,0.655897451464931
SPU_010857,9.30126071308386,9.18372856491424,9.36624590091695,9.36344596861433,9.27590215196251,9.30809891363704,0.704305445340479,0.890278998237676
SPU_010552,9.94316931201579,10.0386866124123,10.0372227479553,10.3360032951238,10.3277855703413,10.5433490565789,5.31317938512482e-07,3.20850269123221e-05
SPU_010551,8.73182566982362,8.75300021200851,8.6297095624317,8.70745132290901,8.78112445944721,8.67010021130356,0.854408210561375,0.952336251011049
SPU_010553,5.21384733353139,5.11179102809159,5.14619683663202,5.32638636420847,5.34802783142515,5.06970958557087,0.366352064497828,0.675813395148489
SPU_010554,5.96348521505887,6.05252348080858,5.85785126284436,5.90796686779152,6.05076600241943,5.82063748972223,0.794336696242437,0.931335060715124
SPU_007833,2.26603696346893,2.26571627109362,2.39547519786849,2.30279172364069,2.34112856182181,2.29900233257156,0.954567834279572,0.986000283023679
SPU_003781,2.23892265998691,2.25653065964782,2.26884971860746,2.2573240771985,2.25499231292175,2.30125192924195,0.778641750127412,0.924102623555123
SPU_003782,4.3235377495992,4.33827039280076,4.37028272982873,4.61680313521497,4.70553635423587,4.76832679668612,0.000261218136843182,0.00445922931762039
ENSRNA022743960,0,0,0,0,0,0,NA,NA
SPU_006828,4.62314739394561,4.71429254882916,4.69800535992524,5.05612600724525,5.11180702340484,5.35963039190301,2.73723232669086e-06,0.000120535748466798
ENSRNA022743956,0,0,0,0,0,0,NA,NA
SPU_006829,1.28975956360132,1.21469906063062,1.268473520625,1.29002240014799,1.28244518912507,1.24757849199202,0.734731302377039,0.904565514395299
SPU_007147,5.17299632255774,5.48075581019268,5.25931507850643,4.87128247817445,5.02272619229745,5.24202400237432,0.0328725989266006,0.162904333467054
SPU_005481,-0.191429339634535,-0.230685017037162,-0.230968380621531,-0.230637650546492,-0.184726778440996,-0.201383515229608,0.675035097144925,NA
SPU_005482,3.99374976764657,3.8551352101351,3.84516249591873,4.03699035386074,4.04777229777021,4.04817499377201,0.111336663801034,0.362495553214992
SPU_023061,0,0,0,0,0,0,NA,NA
SPU_005480,8.17482154510301,8.30132614385054,8.2329519669119,8.25291080266759,8.42394891707091,8.16276175068343,0.600808648845186,0.836681844491966
SPU_006953,4.93587985566817,5.07124149772348,4.98381710292131,5.05329322769627,4.9411364249105,5.12722275441418,0.67347606525137,0.875400488724069
SPU_006954,7.56731407821619,7.74492315638895,7.56418663217049,7.88564335324599,8.13616481468549,8.20046748299015,1.43046325523563e-05,0.000454877500665752
